Type,Date,Latitude,Longitude,Gender,Age_range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Outcome,Removal of more than just outer clothing
Person search,2021-12-06T15:43:24+00:00,53.418707,-2.9674400000000003,Male,over 34,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Arrest,False
Person and Vehicle search,2021-12-06T15:43:35+00:00,53.415475,-2.9747689999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T15:46:15+00:00,53.415475,-2.9747689999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-06T15:52:11+00:00,53.415475,-2.9747689999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T15:56:00+00:00,53.415475,-2.9747689999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-06T15:59:27+00:00,53.446135,-2.994548,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T16:03:00+00:00,53.446135,-2.994548,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T16:05:47+00:00,53.41595699999999,-2.973004,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-06T16:06:23+00:00,53.446135,-2.994548,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T17:04:21+00:00,53.495445999999994,-2.996877,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-06T17:37:43+00:00,53.451499,-2.920826,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-06T18:47:28+00:00,53.411235999999995,-2.843185,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-06T19:56:26+00:00,53.397211,-2.9556869999999997,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T21:00:54+00:00,53.437580000000004,-2.964632,Male,25-34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-06T21:35:21+00:00,53.409038,-2.985799,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-06T21:43:38+00:00,53.391220999999994,-3.1691439999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T22:26:44+00:00,53.405981999999995,-2.97926,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-06T23:38:30+00:00,53.469901,-3.020187,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-06T23:57:33+00:00,53.39629,-2.946072,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T01:33:11+00:00,53.352146999999995,-2.990119,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T01:41:31+00:00,53.414455000000004,-2.9818919999999998,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T01:44:59+00:00,53.431767,-2.991653,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T01:58:00+00:00,53.455791000000005,-2.719884,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Asian,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T01:58:46+00:00,53.458426,-2.735938,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T02:02:22+00:00,53.458426,-2.735938,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T02:32:05+00:00,53.421184999999994,-2.947753,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T02:33:27+00:00,53.405122,-2.981075,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-07T02:41:25+00:00,53.427817000000005,-2.745011,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T02:47:54+00:00,53.389426,-3.0302599999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T02:57:29+00:00,53.389426,-3.0302599999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T03:14:00+00:00,53.40370600000001,-2.943724,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T04:33:51+00:00,53.402122,-2.980826,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T04:55:29+00:00,53.463836,-2.728757,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T04:58:36+00:00,53.491685,-2.949867,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T05:23:00+00:00,53.405246999999996,-2.9887349999999997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Khat or Cannabis warning,False
Person search,2021-12-07T07:48:08+00:00,53.406057,-2.9875950000000002,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-07T11:01:36+00:00,53.41500799999999,-2.986689,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T11:11:35+00:00,53.41169300000001,-2.99087,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T11:31:06+00:00,53.802434999999996,-3.0337709999999998,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person and Vehicle search,2021-12-07T12:14:54+00:00,53.425287,-2.986145,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T12:28:40+00:00,53.401568999999995,-2.978061,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-07T12:29:08+00:00,53.806525,-3.0461720000000003,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T13:16:28+00:00,53.453577,-2.748173,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T13:21:59+00:00,53.437084,-2.938909,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-07T13:22:58+00:00,53.443129000000006,-2.957531,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-07T13:32:21+00:00,53.412057,-2.9493400000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T13:36:50+00:00,53.41411,-2.991002,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T13:45:56+00:00,53.41837099999999,-2.9833220000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Summons / charged by post,False
Person search,2021-12-07T13:46:14+00:00,53.408705000000005,-2.9923349999999997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T13:59:05+00:00,53.412580000000005,-2.987882,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:07:03+00:00,53.452461,-2.738275,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:07:46+00:00,53.468378,-3.018538,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:15:00+00:00,53.41169300000001,-2.99087,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:18:40+00:00,53.41169300000001,-2.99087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:25:12+00:00,53.410687,-2.988635,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-07T14:29:13+00:00,53.421614,-2.989009,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:30:55+00:00,53.415493999999995,-2.9888220000000003,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-07T14:33:47+00:00,53.406242000000006,-2.977115,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-07T14:34:29+00:00,53.44601899999999,-2.968181,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T14:37:21+00:00,53.405981999999995,-2.97926,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-07T14:58:51+00:00,53.440180000000005,-2.990645,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T15:18:44+00:00,53.405122,-2.981075,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-07T15:30:59+00:00,53.445657999999995,-2.99136,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T16:03:25+00:00,53.448944999999995,-2.707346,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T16:05:18+00:00,53.42709,-3.042729,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T16:10:19+00:00,53.39815,-2.93927,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Caution (simple or conditional),False
Person and Vehicle search,2021-12-07T16:13:38+00:00,53.427275,-2.918391,Male,over 34,Mixed/Multiple ethnic groups - White and Asian,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T16:29:09+00:00,53.428465,-2.950128,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T17:43:43+00:00,53.405789,-2.973193,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-07T17:47:49+00:00,53.407963,-2.9886619999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T17:52:33+00:00,53.405685999999996,-2.983495,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T18:02:28+00:00,53.405685999999996,-2.983495,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Khat or Cannabis warning,False
Person search,2021-12-07T18:04:11+00:00,53.405789,-2.973193,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-07T18:06:35+00:00,53.405789,-2.973193,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-07T18:27:02+00:00,53.409496999999995,-2.964809,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Arrest,False
Person search,2021-12-07T19:00:25+00:00,53.4026,-2.977302,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-07T19:34:26+00:00,53.450049,-2.746063,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person and Vehicle search,2021-12-07T19:38:44+00:00,53.452527,-2.7318759999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T19:45:05+00:00,53.454878,-2.738422,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-07T19:46:42+00:00,53.450049,-2.746063,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T20:01:04+00:00,53.405122,-2.981075,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T20:31:18+00:00,53.406227,-2.962418,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person and Vehicle search,2021-12-07T20:56:25+00:00,53.395258,-2.969329,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T21:02:12+00:00,53.402609999999996,-2.995638,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T21:18:14+00:00,53.39755600000001,-2.97848,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Caution (simple or conditional),False
Person search,2021-12-07T22:22:13+00:00,53.409918999999995,-2.971498,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T22:34:11+00:00,53.412172,-2.973008,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T23:02:11+00:00,53.394127000000005,-2.960235,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Arrest,False
Person and Vehicle search,2021-12-07T23:09:12+00:00,53.403224,-2.983348,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T23:24:41+00:00,53.410915,-2.9947340000000002,Male,over 34,Other ethnic group - Any other ethnic group,Asian,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-07T23:29:04+00:00,53.409507,-2.987735,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-07T23:35:24+00:00,53.495819999999995,-2.893899,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T23:39:47+00:00,53.495819999999995,-2.893899,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T23:45:52+00:00,53.495819999999995,-2.893899,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-07T23:56:29+00:00,53.418278,-2.831106,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T00:00:42+00:00,53.410687,-2.988635,Male,over 34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T00:06:45+00:00,53.398697,-2.82516,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,True
Person search,2021-12-08T00:25:39+00:00,53.375989000000004,-3.01546,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T00:38:32+00:00,53.411037,-2.838247,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person and Vehicle search,2021-12-08T01:11:31+00:00,53.398697,-2.82516,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-08T02:01:42+00:00,53.48056,-3.023471,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-08T02:15:04+00:00,53.39599499999999,-3.0137560000000003,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T02:52:49+00:00,53.47523,-2.921897,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T03:15:00+00:00,53.435892,-2.747395,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,True
Person search,2021-12-08T03:15:08+00:00,53.388476000000004,-2.965401,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T03:26:29+00:00,53.452399,-2.719044,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T03:39:31+00:00,53.407012,-2.984037,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-08T06:49:39+00:00,53.401536,-2.9809930000000002,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-08T06:59:11+00:00,53.401536,-2.9809930000000002,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-08T07:08:54+00:00,53.409457999999994,-2.9839580000000003,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person and Vehicle search,2021-12-08T08:04:35+00:00,53.420973,-2.846718,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T08:08:48+00:00,53.813341,-3.051992,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T08:18:31+00:00,53.451987,-2.73789,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Caution (simple or conditional),False
Person search,2021-12-08T09:05:17+00:00,53.44601899999999,-2.968181,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T09:13:14+00:00,53.415493999999995,-2.9888220000000003,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T10:35:11+00:00,53.428715000000004,-2.856429,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-08T10:42:59+00:00,53.476932999999995,-3.025117,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-08T10:54:37+00:00,53.426437,-2.8681669999999997,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T10:57:29+00:00,53.415475,-2.9747689999999998,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-08T11:07:00+00:00,53.405776,-2.974682,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-08T11:08:24+00:00,53.428715000000004,-2.856429,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-08T11:24:41+00:00,53.406227,-2.962418,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person and Vehicle search,2021-12-08T11:25:02+00:00,53.417058,-2.832001,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T11:25:15+00:00,53.43198,-2.967892,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T11:28:15+00:00,53.401045999999994,-2.976003,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-08T11:32:03+00:00,53.421614,-2.989009,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T11:32:31+00:00,53.412966000000004,-2.989034,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-08T11:37:39+00:00,53.415367,-2.937769,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T11:40:04+00:00,53.421265000000005,-2.989889,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T11:48:21+00:00,53.428898,-2.9588970000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T11:53:00+00:00,53.415493999999995,-2.9888220000000003,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T11:58:12+00:00,53.411044,-2.924961,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-08T12:22:12+00:00,53.405776,-2.974682,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T12:43:54+00:00,53.410587,-2.994169,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T12:45:48+00:00,53.410644,-2.9905150000000003,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T12:59:01+00:00,53.410687,-2.988635,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-08T13:31:50+00:00,53.410687,-2.988635,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-08T13:33:22+00:00,53.401766,-2.9847580000000002,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T13:36:54+00:00,53.40219200000001,-2.976571,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Summons / charged by post,False
Person search,2021-12-08T14:38:58+00:00,53.376505,-3.0171259999999998,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-08T15:10:46+00:00,53.409112,-3.021875,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-08T16:25:12+00:00,53.40979599999999,-3.019755,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-08T16:30:44+00:00,53.417551,-3.0356349999999996,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Arrest,False
Person search,2021-12-08T17:20:13+00:00,53.449206999999994,-2.939222,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
